2017-12-21 11:36:48, 0
2017-12-21 11:36:53, 0
2017-12-21 11:36:58, 0
2017-12-21 11:37:03, 0
2017-12-21 11:37:08, 0
2017-12-21 11:37:13, 0
2017-12-21 11:37:18, 0
2017-12-21 11:37:23, 0
2017-12-21 11:37:29, 0
2017-12-21 11:39:47, 0
2017-12-21 11:39:52, 0
2017-12-21 11:39:57, 1
2017-12-21 11:40:02, 1
2017-12-21 11:40:07, 1
2017-12-21 11:40:12, 1
2017-12-21 11:40:18, 0
2017-12-21 11:40:23, 0
2017-12-21 11:40:28, 1
2017-12-21 11:40:33, 1
2017-12-21 11:40:38, 1
2017-12-21 11:40:43, 1
2017-12-21 11:40:48, 1
2017-12-21 11:40:53, 0
2017-12-21 11:40:59, 0
2017-12-21 11:41:04, 0
2018-02-01 23:30:37, 1
2018-02-01 23:50:56, 1
